Log(g),log(teff),mWD,tcool(gyr),R(Rsun),core,log(L),TpreWD(gyr),Mzams,Mbol,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,J,H,K,FUV,NUV,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y
7.6,4.78,0.522,0.00112,0.018978,CO,0.63,12.80487,1.166,3.1643,8.1553,7.9694,8.5061,7.409,7.8983,8.4438,8.8191,9.1906,7.9718,8.4498,8.8452,9.1386,9.353,6.6264,7.8999,8.2253,8.3612,8.5522,8.9885,9.1194,9.2324,5.978,6.5774,60255.95860743581,59331336.9592646,115284420.33723803,21413706.153760705,173705906.28015912,163646479.7854963,45649768.916098714,18045111.69213336,7736787.728387262,142033100.21520835,44980167.38961609,17289025.258414205,8720887.245787386,5642430.305116062
7.6,4.76,0.517,0.00135,0.018876,CO,0.547,12.80474,1.059,3.3735,8.2177,8.0321,8.5652,7.4782,7.961,8.5023,8.8782,9.247,8.0342,8.5086,8.9039,9.195,9.4102,6.6962,7.9651,8.2847,8.4203,8.6091,9.0435,9.1728,9.2855,6.0659,6.6544,57543.993733715666,56624591.50614502,109994651.35377616,20499005.22306557,164746248.03469822,156137641.46640885,43723964.26511,17274302.550513014,7424746.47229845,135553430.82120875,43070708.372476116,16556611.41740469,8369155.143793728,5410870.633442817
7.7,4.9,0.578,0.00036,0.017797,CO,1.055,2.49394,2.382,2.1023,8.0313,7.8385,8.3995,7.2713,7.7633,8.3279,8.7137,9.0894,7.8393,8.3349,8.7395,9.0373,9.2542,6.4882,7.7616,8.1041,8.2478,8.4486,8.896,9.0338,9.1524,5.7668,6.4077,79432.82347242821,75629532.95714608,147889691.82255638,26862048.108063363,224234209.09164134,210723975.6244314,57757164.9109326,22611369.04344272,9657127.496717466,182472259.73933837,56857577.37017339,21669944.174368333,10886491.934633898,7027380.790038978
7.7,4.88,0.572,0.00045,0.017711,CO,0.97,4.21555,2.26,2.314,8.0851,7.8935,8.4512,7.3264,7.8188,8.3807,8.7649,9.1398,7.8947,8.3877,8.7912,9.0878,9.3047,6.5437,7.8174,8.158,8.3002,8.4994,8.9454,9.0821,9.1991,5.8337,6.4679,75857.75750291836,72673964.63749476,141953249.55227143,25862264.99398704,215213397.64403167,202172176.2851411,55551181.714662336,21779820.341560055,9308836.445968347,175083123.21767238,54685953.11450423,20863406.8551977,10492896.520464413,6773309.5181187205
7.7,4.86,0.566,0.00056,0.017615,CO,0.886,5.98977,2.135,2.5261,8.1383,7.9478,8.5022,7.3808,7.8734,8.4328,8.8155,9.1898,7.9492,8.4398,8.8422,9.1376,9.3547,6.5985,7.8723,8.2112,8.3519,8.5496,8.9943,9.1299,9.2455,5.8993,6.5271,72443.59600749906,69955155.17909506,136504261.5154766,24945225.16544137,206933200.60593924,194357926.4992169,53527156.48002008,21015279.192719243,8987031.646465592,168331408.0646511,52693452.76315741,20123619.560859114,10132025.19354811,6539157.427887017
7.7,4.84,0.56,0.00069,0.017511,CO,0.801,7.81376,2.005,2.7385,8.2037,8.014,8.5637,7.4531,7.9403,8.4962,8.8767,9.2505,8.0161,8.502,8.9036,9.1985,9.4142,6.6699,7.9405,8.2754,8.4151,8.6106,9.0518,9.1866,9.3003,5.9957,6.6101,69183.09709189362,66650455.72776264,129959971.89937334,23852330.996656287,195908632.8696645,184920754.2398644,51092549.218612865,20100115.965998184,8599628.096912859,160157969.89735445,50352386.1110542,19243740.742508307,9693478.691900967,6264193.8952114135
7.7,4.82,0.553,0.00084,0.017401,CO,0.716,9.67599,1.873,2.9512,8.2586,8.0699,8.6159,7.5083,7.9971,8.5498,8.9289,9.302,8.0722,8.5557,8.9555,9.25,9.4654,6.7255,7.9977,8.3296,8.4683,8.6625,9.1024,9.2361,9.3496,6.0586,6.6684,66069.34480075965,64167719.5629067,125003764.1450082,23021006.602459557,188558908.6834844,177721159.55211154,49248278.487693906,19399567.380995665,8305258.4548830995,154021744.2147967,48530362.78384551,18578172.00042481,9361665.98786291,6051439.196758688
7.7,4.8,0.546,0.00102,0.017287,CO,0.63,11.57633,1.738,3.1641,8.3121,8.1245,8.6669,7.5623,8.0525,8.6022,8.9799,9.3524,8.127,8.6081,9.0062,9.3004,9.5155,6.7798,8.0534,8.3827,8.5203,8.7132,9.1519,9.2846,9.3978,6.1199,6.7254,63095.7344480193,61890751.395078644,120445960.93388173,22255300.33456458,181784230.4446728,171115081.39710712,47548870.400763445,18754314.52152728,8033453.829888314,148378572.06187144,46855727.78117969,17965203.018976826,9055288.513040142,5855012.465231939
7.7,4.78,0.541,0.00122,0.0172,CO,0.546,12.80542,1.623,3.3749,8.3605,8.1738,8.7129,7.6111,8.1028,8.6494,9.0259,9.3978,8.1766,8.6554,9.052,9.3458,9.5606,6.8289,8.1039,8.4306,8.5672,8.759,9.1965,9.3282,9.4412,6.1757,6.777,60255.95860743581,59792694.58331396,116266503.2197408,21548439.73969285,175557171.95481488,165025348.42903483,45987793.67411774,18158650.310314212,7782599.327959522,143190286.30941924,45313233.92113512,17397806.632063925,8772525.96310071,5673749.979648143
7.7,4.76,0.537,0.00143,0.017159,CO,0.463,12.80532,1.543,3.5818,8.4169,8.231,8.7657,7.6747,8.16,8.7024,9.0787,9.4483,8.2334,8.7085,9.1046,9.3963,9.6118,6.8927,8.1637,8.4842,8.6204,8.8101,9.2458,9.376,9.4888,6.2567,6.8481,57543.993733715666,57037577.36661246,110827505.0107987,20623804.108593144,166360999.72201777,157305389.97428453,44006367.32701644,17379469.298026424,7464446.63560494,136542076.36862895,43356878.10086914,16654340.702821797,8413905.06585317,5438299.725362011
