logg,log(teff),mWD,tcool(gyr),R(Rsun),core,log(L),TpreWD(gyr),Mzams,Mbol,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,J,H,K,FUV,NUV,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y
7.5,4.78,0.531,0.00109,0.02147,CO,0.738,11.22333,1.033,2.8944,7.9797,7.7966,8.335,7.2853,7.7166,8.2679,8.646,9.0171,7.7827,8.2739,8.672,8.9651,9.1801,6.5013,7.7286,8.0369,8.186,8.379,8.8162,8.9412,9.0503,5.7883,6.4378,60255.95860743581,54495536.245226994,105615440.79794209,19587032.07765657,152100758.96433505,151155329.15042332,41940671.46227202,16536224.899417236,7092469.504858797,132088911.82920375,41325475.847931474,15844819.803697804,7994613.399966227,5169672.117066882
7.5,4.76,0.525,0.00129,0.021438,CO,0.653,0.0,0.0,3.107,8.0238,7.8423,8.3774,7.3367,7.7613,8.3113,8.6889,9.0594,7.8273,8.3169,8.7149,9.0079,9.2224,6.5522,7.7753,8.0809,8.2289,8.4209,8.8535,8.9819,9.0919,5.8525,6.4956,57543.993733715666,52482738.274427086,101564742.4718753,18893142.067335475,145501321.1860977,145491968.20489514,40417638.46852347,15943069.00946295,6841841.876182533,127151625.95579012,39839457.754959986,15276464.677361868,7708555.842294802,4986990.659945844
7.5,4.74,0.52,0.00147,0.021462,CO,0.569,0.0,0.0,3.3175,8.0624,7.8814,8.4143,7.3815,7.8004,8.3483,8.7253,9.0953,7.8654,8.3543,8.7513,9.0433,9.2573,6.5965,7.8144,8.1184,8.2663,8.4573,8.8853,9.0173,9.1233,5.9108,6.5466,54954.08738576248,50536439.20303085,97753231.65006723,18221005.63259705,139307689.40000674,140031961.1413946,38976163.368537866,15382965.925597342,6604518.864066149,122492661.27068794,38404451.85481747,14739780.368257029,7444596.6915784655,4818442.790304968
7.5,4.72,0.516,0.00166,0.021435,CO,0.485,0.0,0.0,3.5282,8.1133,7.9333,8.4618,7.4394,7.8523,8.3968,8.7728,9.1418,7.9168,8.4028,8.7988,9.0903,9.3038,6.6544,7.8684,8.1673,8.3143,8.5048,8.9338,9.0613,9.1683,5.9815,6.6109,52480.74602497723,48343494.89535288,93425306.03143078,17485004.473050475,132406252.63208961,133832187.46822026,37367366.56175466,14761601.716244891,6343582.470501212,117123347.26491906,36819253.25725198,14144396.355911946,7147177.70433843,4628072.059267803
7.5,4.7,0.511,0.00187,0.021368,CO,0.4,0.0,0.0,3.7388,8.1661,7.9871,8.5113,7.4988,7.9061,8.4473,8.8223,9.1904,7.9701,8.4533,8.8483,9.1393,9.3524,6.7138,7.924,8.2182,8.3643,8.5543,8.9843,9.1075,9.2154,6.0532,6.6765,50118.72336272725,46337998.30286342,89467181.27245829,16810668.085713025,126144325.8115135,128162155.25460142,35893161.91000368,14192297.591216478,6103990.035820247,112212878.02356526,35366672.58539395,13598895.715382136,6874700.869923641,4453273.188485357
7.5,4.68,0.506,0.00211,0.021273,CO,0.316,0.0,0.0,3.9493,8.2227,8.0459,8.5662,7.5654,7.9639,8.5031,8.8762,9.2444,8.0271,8.5091,8.9028,9.1934,9.406,6.7794,7.9827,8.2745,8.4201,8.6078,9.03,9.1597,9.2667,6.136,6.7512,47863.0092322638,44377980.925265595,85509432.59350508,16124833.660068745,119701058.22148606,122605533.65961534,34400280.818229385,13625830.397793988,5859817.438159144,107426882.07561524,33895689.423919074,13048900.308303688,6599090.371274092,4276708.086605043
7.5,4.66,0.501,0.0024,0.021158,CO,0.232,0.0,0.0,4.1599,8.2835,8.108,8.6236,7.6339,8.026,8.5613,8.9336,9.3009,8.0883,8.5673,8.9597,9.2499,9.462,6.8479,8.0465,8.3332,8.4783,8.6647,9.083,9.2144,9.3214,6.2184,6.8266,45708.818961487515,42418547.545937836,81636105.68428189,15461210.672544356,113607301.55138656,117051861.9962685,32960230.671738166,13065054.735439219,5623314.07381637,102645809.88380575,32476762.271020103,12517631.654341293,6332749.80847001,4105989.7645024937
7.5,4.64,0.497,0.00274,0.021029,CO,0.148,0.0,0.0,4.3709,8.3486,8.1747,8.6859,7.7099,8.0917,8.6248,8.9957,9.3621,8.1539,8.6308,9.0217,9.3114,9.5231,6.9236,8.1133,8.397,8.5415,8.7267,9.1429,9.2738,9.3788,6.3116,6.9113,43651.58322401656,40441548.59579481,77716684.15744132,14778674.415355904,107230474.5558286,111534778.76760864,31470397.321019873,12490597.595640736,5380520.916283564,97816745.52696759,31008782.14561998,11968346.424122717,6057651.911579028,3929070.721559073
7.5,4.62,0.492,0.00314,0.020893,CO,0.063,0.0,0.0,4.5818,8.4182,8.2459,8.7516,7.7901,8.1629,8.6916,9.0609,9.4266,8.2239,8.6976,9.0869,9.3763,9.5876,7.0035,8.1869,8.4643,8.6079,8.7919,9.207,9.3363,9.4413,6.406,6.9994,41686.93834703355,38425843.60411918,73734356.82316121,14092599.665382497,100895979.65104716,105819558.11679803,29979049.519558515,11916229.271973765,5136413.24860684,92907086.84676039,29539309.78379579,11417993.326918779,5780693.558443509,3750813.577892194
7.5,4.6,0.487,0.00361,0.020757,CO,-0.021,0.0,0.0,4.7925,8.4853,8.3146,8.8159,7.8696,8.2307,8.757,9.1248,9.4907,8.2914,8.7629,9.1518,9.4397,9.6507,7.0826,8.256,8.53,8.6729,8.8558,9.2727,9.3954,9.5023,6.5031,7.0885,39810.71705534969,36597873.24878494,70123298.12625405,13456854.3790477,95004964.35784818,100720617.93112218,28597646.757452037,11382857.22323416,4905602.961801563,88454774.69384806,28180765.186547715,10896881.36509913,5524492.462804147,3585567.620940184
